,0
0,-5.0
1,-5.0
2,0.0
3,-1.0
4,-2.0
5,-7.0
6,-5.0
7,-6.0
8,0.0
9,-9.0
10,-3.0
11,-3.0
12,-8.0
13,-2.0
14,-4.0
15,-3.0
16,-6.0
17,0.0
18,-9.0
19,-7.0
20,-7.0
21,-7.0
22,-5.0
23,-2.0
24,-7.0
25,-7.0
26,-9.0
27,-8.0
28,-3.0
29,-2.0
30,0.0
31,-2.0
32,-8.0
33,-4.0
34,-2.0
35,-9.0
36,-4.0
37,-8.0
38,-5.0
39,-9.0
40,-9.0
41,-3.0
42,-1.0
43,-4.0
44,0.0
45,-3.0
46,-3.0
47,-7.0
48,-1.0
49,-7.0
50,-5.0
51,0.0
52,0.0
53,0.0
54,-7.0
55,-7.0
56,-7.0
57,-7.0
58,-7.0
59,-7.0
60,-7.0
61,-7.0
62,-7.0
63,-7.0
64,-7.0
65,-7.0
66,-7.0
67,-7.0
68,-7.0
69,-7.0
70,-7.0
71,-7.0
72,-7.0
73,-7.0
74,-7.0
75,-7.0
76,-7.0
77,-7.0
78,-7.0
79,-7.0
80,-7.0
81,-7.0
82,-7.0
83,-7.0
84,-7.0
85,-7.0
86,-7.0
87,-7.0
88,-7.0
89,-7.0
90,-7.0
91,-7.0
92,-7.0
93,-7.0
94,-7.0
95,-7.0
96,-7.0
97,-7.0
