,0
0,1211.0
1,477.0
2,1293.0
3,334.0
4,260.0
5,1375.0
6,192.0
7,1012.0
8,141.0
9,1502.0
10,1130.0
11,593.0
12,605.0
13,63.0
14,931.0
15,1573.0
16,1522.0
17,380.0
18,813.0
19,1073.0
20,1342.0
21,536.0
22,669.0
23,1351.0
24,1083.0
25,1151.0
26,1311.0
27,113.0
28,914.0
29,1265.0
30,690.0
31,214.0
32,1333.0
33,1478.0
34,1478.0
35,406.0
36,91.0
37,1433.0
38,1433.0
39,131.0
40,1377.0
41,1418.0
42,451.0
43,87.0
44,1287.0
45,145.0
46,899.0
47,1178.0
48,637.0
49,855.0
50,855.0
51,855.0
52,1533.0
53,1156.0
54,1156.0
55,1156.0
56,1156.0
57,1156.0
58,1156.0
59,1156.0
60,1156.0
61,1156.0
62,1156.0
63,1156.0
64,1156.0
65,1156.0
66,1156.0
67,1156.0
68,1156.0
69,1156.0
70,1156.0
71,1156.0
72,1156.0
73,1156.0
74,1156.0
75,1156.0
76,1156.0
77,1156.0
78,1156.0
79,1156.0
80,1156.0
81,1156.0
82,1156.0
83,1156.0
84,1156.0
85,1156.0
86,1156.0
87,1156.0
88,1156.0
89,1156.0
90,1156.0
91,1156.0
92,1156.0
93,1156.0
94,1156.0
95,1156.0
